alert_id,notification_id,datetime,date,card_id,merchant,amount,amount_cents,kind,issuer,subject
e440253eb3c1dfc4,CREDIT_REALTIME_AUTH-e440253eb3c1dfc4555316916dfe79efe152af1fd7378eef023ae8dccee4bd55-ver3-3-e440253e-b3c1-3e6c-a41b-dfc455531691,2026-09-08 08:12,2026-09-08,4417,FOURTH STREET MARKET,5.35,535,purchase,Chase,You made a $5.35 transaction with FOURTH STREET MARKET
3039167367fcac14,CREDIT_REALTIME_AUTH-3039167367fcac149fefd1f99768f63e5070d2447dd9a45367550fe10299a1ee-ver3-3-30391673-67fc-3e6c-a41b-ac149fefd1f9,2026-09-07 19:55,2026-09-07,4417,KROGER #445,58.21,5821,purchase,Chase,You made a $58.21 transaction with KROGER #445
fbeeac4332c87d60,CREDIT_REALTIME_AUTH-fbeeac4332c87d6028e0b6ced9c05f7c6e09a8c6884dd746122cde5d797bcaaf-ver3-3-fbeeac43-32c8-3e6c-a41b-7d6028e0b6ce,2026-09-07 13:30,2026-09-07,4417,LYFT *RIDE SUN 1PM,14.60,1460,purchase,Chase,You made a $14.60 transaction with LYFT *RIDE SUN 1PM
dd8e23c9b6e48191,CREDIT_REALTIME_AUTH-dd8e23c9b6e48191ff545e279e73cd0250eca224deb64347b29eb9f4deb0bdc2-ver3-3-dd8e23c9-b6e4-3e6c-a41b-8191ff545e27,2026-09-07 07:44,2026-09-07,4417,FOURTH STREET MARKET,3.48,348,purchase,Chase,You made a $3.48 transaction with FOURTH STREET MARKET
ddacb19dd4b97a13,CREDIT_REALTIME_AUTH-ddacb19dd4b97a13e055e6fd432f40d4d1e59f713fda3175124304e1544aa93b-ver3-3-ddacb19d-d4b9-3e6c-a41b-7a13e055e6fd,2026-09-06 21:10,2026-09-06,8802,AMAZON PRIME*8H3TY,14.99,1499,purchase,Chase,You made a $14.99 transaction with AMAZON PRIME*8H3TY
8e85fb8cdb57b69a,CREDIT_REALTIME_AUTH-8e85fb8cdb57b69a1c8c0e7e5129c846643f39e0ab6389e0f756c6eddfb5783a-ver3-3-8e85fb8c-db57-3e6c-a41b-b69a1c8c0e7e,2026-09-06 11:26,2026-09-06,4417,CVS/PHARMACY #8812,16.73,1673,purchase,Chase,You made a $16.73 transaction with CVS/PHARMACY #8812
e57ef6401a8c7829,CREDIT_REALTIME_AUTH-e57ef6401a8c7829e577dc1a90264b3369a60192dcca3d368a7880bd2e9ed415-ver3-3-e57ef640-1a8c-3e6c-a41b-7829e577dc1a,2026-09-05 18:48,2026-09-05,4417,SUNFIRE TAQUERIA,22.10,2210,purchase,Chase,You made a $22.10 transaction with SUNFIRE TAQUERIA
d4d9fd1bc75eddc9,CREDIT_REALTIME_AUTH-d4d9fd1bc75eddc9a4db392ed6a49407bc844ae864da74a2da0d40877de634b1-ver3-3-d4d9fd1b-c75e-3e6c-a41b-ddc9a4db392e,2026-09-05 10:02,2026-09-05,8802,AMAZON.COM*9Q1MB4TX2,19.99,1999,purchase,Chase,You made a $19.99 transaction with AMAZON.COM*9Q1MB4TX2
83f963742fd34cdd,CREDIT_REALTIME_AUTH-83f963742fd34cddf898c6aff685f499109355815e22c21aa4f45ed194f2aca4-ver3-3-83f96374-2fd3-3e6c-a41b-4cddf898c6af,2026-09-04 08:15,2026-09-04,4417,FOURTH STREET MARKET,5.35,535,purchase,Chase,You made a $5.35 transaction with FOURTH STREET MARKET
44f344fb970ccf54,CREDIT_REALTIME_AUTH-44f344fb970ccf542a3acf20c835b68652cec6cf827c6207a35b30d29bba850f-ver3-3-44f344fb-970c-3e6c-a41b-cf542a3acf20,2026-09-03 12:31,2026-09-03,4417,GOLDEN WOK,15.60,1560,purchase,Chase,You made a $15.60 transaction with GOLDEN WOK
f930e6a41cc8c7f6,CREDIT_REALTIME_AUTH-f930e6a41cc8c7f6edbec3f9c0514bd96ef54594133957bd0357c721642e2c97-ver3-3-f930e6a4-1cc8-3e6c-a41b-c7f6edbec3f9,2026-09-02 08:10,2026-09-02,4417,FOURTH STREET MARKET,3.48,348,purchase,Chase,You made a $3.48 transaction with FOURTH STREET MARKET
